"","X.x","sector","state","year","action_occurred","protest_occurred","strike_occurred","total_strikes","total_protests","total_actions","X.y","all_employees","avg_hourly_earnings_all","avg_hourly_earnings_production","avg_weekly_earnings_all","avg_weekly_earnings_production","avg_weekly_hours_all","avg_weekly_hours_production","production_nonsupervisory_employees","Labor.Force","Labor.Force.Participation.Rate","Unemployment.Rate","state_labor_force","state_labor_part","state_unempl_rate","X","adjusted_cpi"
"54",54,"Construction","District of Columbia",2026,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",55,"Construction","Florida",2021,0,0,0,0,0,0,73,577.925,28.1816666666667,NA,1143.71916666667,NA,40.5833333333333,NA,NA,10297351,58.0166666666667,4.7,10297.351,58.0166666666667,4.7,316,274.756048141667
"56",56,"Construction","Florida",2022,0,0,0,0,0,0,74,602.366666666667,29.7008333333333,NA,1213.51583333333,NA,40.8583333333333,NA,NA,10703282,58.85,3.025,10703.282,58.85,3.025,367,299.21534105
"57",57,"Construction","Florida",2023,0,0,0,0,0,0,75,630.191666666667,31.5875,NA,1280.07083333333,NA,40.525,NA,NA,11030808.1666667,59.1333333333333,2.95,11030.8081666667,59.1333333333333,2.95,418,315.2225545
"58",58,"Construction","Florida",2024,0,0,0,0,0,0,76,650.691666666667,32.5508333333333,NA,1300.76833333333,NA,39.9916666666667,NA,NA,11155356,58.4666666666667,3.35833333333333,11155.356,58.4666666666667,3.35833333333333,469,324.52668254
"59",59,"Construction","Florida",2025,0,0,0,0,0,0,77,654.425,33.64,NA,1321.17,NA,39.275,NA,NA,11184014,58,3.6,11184.014,58,3.6,NA,NA
"60",60,"Construction","Florida",2026,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",61,"Construction","Georgia",2021,0,0,0,0,0,0,84,206.008333333333,28.5725,NA,1167.77083333333,NA,40.875,NA,NA,5167723.33333333,61.7083333333333,3.91666666666667,5167.72333333333,61.7083333333333,3.91666666666667,317,259.481586679167
"62",62,"Construction","Georgia",2022,0,0,0,0,0,0,85,213.675,29.5558333333333,NA,1211.45166666667,NA,40.9916666666667,NA,NA,5245955.25,61.725,3.175,5245.95525,61.725,3.175,368,280.115680104167
"63",63,"Construction","Georgia",2023,0,0,0,0,0,0,86,221.258333333333,31.955,NA,1291.8675,NA,40.425,NA,NA,5342461.83333333,61.8833333333333,3.28333333333333,5342.46183333333,61.8833333333333,3.28333333333333,419,294.645882125
"64",64,"Construction","Georgia",2024,0,0,0,0,0,0,87,228.366666666667,34.5483333333333,NA,1372.96416666667,NA,39.7333333333333,NA,NA,5401399.58333333,61.6333333333333,3.54166666666667,5401.39958333333,61.6333333333333,3.54166666666667,470,303.342667855
"65",65,"Construction","Georgia",2025,0,0,0,0,0,0,88,225.3,36.0975,NA,1394.9725,NA,38.65,NA,NA,5379118.75,60.875,3.475,5379.11875,60.875,3.475,NA,NA
"66",66,"Construction","Georgia",2026,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",67,"Construction","Guam",2021,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",68,"Construction","Guam",2022,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",69,"Construction","Guam",2023,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
