"","state","year","adjusted_cpi"
"451","Tennessee",2023,281.897059791667
"452","Texas",2023,296.096273958333
"453","Utah",2023,289.475052416667
"454","Vermont",2023,294.450871458333
"455","Virginia",2023,306.986400875
"456","Washington",2023,330.792937416667
"457","West Virginia",2023,273.5390245
"458","Wisconsin",2023,283.670438041667
"459","Wyoming",2023,276.817641333333
"460","Alabama",2024,282.23394065
"461","Alaska",2024,319.077751175
"462","Arizona",2024,317.164194391667
"463","Arkansas",2024,271.37372166
"464","California",2024,353.164157745
"465","Colorado",2024,318.03313739
"466","Connecticut",2024,325.270146405
"467","Delaware",2024,311.354510518333
"468","District of Columbia",2024,347.589747246667
"469","Florida",2024,324.52668254
"470","Georgia",2024,303.342667855
"471","Hawaii",2024,340.704079805
"472","Idaho",2024,286.798244125
"473","Illinois",2024,310.105993141667
"474","Indiana",2024,289.17921068
"475","Iowa",2024,278.460155715
"476","Kansas",2024,282.218255758333
"477","Kentucky",2024,283.79615586
"478","Louisiana",2024,277.136350858333
"479","Maine",2024,304.591185231667
"480","Maryland",2024,326.135952425
"481","Massachusetts",2024,339.540260843333
"482","Michigan",2024,295.453167346667
"483","Minnesota",2024,308.731996631667
"484","Mississippi",2024,273.833112673333
"485","Missouri",2024,287.855405823333
"486","Montana",2024,283.093472713333
"487","Nebraska",2024,283.507553853333
"488","Nevada",2024,304.224158766667
"489","New Hampshire",2024,330.464982525
"490","New Jersey",2024,341.563611868333
"491","New Mexico",2024,283.538923636667
"492","New York",2024,337.620430103333
"493","North Carolina",2024,295.312003321667
"494","North Dakota",2024,277.84844494
"495","Ohio",2024,288.01225474
"496","Oklahoma",2024,276.951269136667
"497","Oregon",2024,328.507508045
"498","Pennsylvania",2024,305.8553875
"499","Rhode Island",2024,318.12724674
"500","South Carolina",2024,292.294230165
"501","South Dakota",2024,276.352106275
"502","Tennessee",2024,290.217550508333
"503","Texas",2024,304.835869541667
"504","Utah",2024,298.019215623333
"505","Vermont",2024,303.141901241667
"506","Virginia",2024,316.047430105
"507","Washington",2024,340.556641823333
"508","West Virginia",2024,281.61281894
"509","Wisconsin",2024,292.043271898333
"510","Wyoming",2024,284.988207626667
"511","Alabama",2025,287.633415225
"512","Alaska",2025,325.1820921375
"513","Arizona",2025,323.2319267125
"514","Arkansas",2025,276.56542719
"515","California",2025,359.9206126425
"516","Colorado",2025,324.117493635
"517","Connecticut",2025,331.4929553325
"518","Delaware",2025,317.3110966025
"519","District of Columbia",2025,354.23955697
"520","Florida",2025,330.73526811
"521","Georgia",2025,309.1459777575
"522","Hawaii",2025,347.2221584325
"523","Idaho",2025,292.2850393125
"524","Illinois",2025,316.0386935875
"525","Indiana",2025,294.71155662
"526","Iowa",2025,283.7874332475
"527","Kansas",2025,287.6174302625
"528","Kentucky",2025,289.22551749
"529","Louisiana",2025,282.4383024125
"530","Maine",2025,310.4183807725
"531","Maryland",2025,332.3753252625
"532","Massachusetts",2025,346.036074215
"533","Michigan",2025,301.10554162
"534","Minnesota",2025,314.6384108725
"535","Mississippi",2025,279.07186931
"536","Missouri",2025,293.362425785
"537","Montana",2025,288.50939117
"538","Nebraska",2025,288.93139418
"539","Nevada",2025,310.04433265
"540","New Hampshire",2025,336.7871749125
"541","New Jersey",2025,348.0981343775
"542","New Mexico",2025,288.963364105
"543","New York",2025,344.079514805
"544","North Carolina",2025,300.9616769575
"545","North Dakota",2025,283.16401971
"546","Ohio",2025,293.52227541
"547","Oklahoma",2025,282.249679855
"548","Oregon",2025,334.7922515925
"549","Pennsylvania",2025,311.70676875
"550","Rhode Island",2025,324.21340341
"551","South Carolina",2025,297.8861701725
"552","South Dakota",2025,281.6390542875
"553","Tennessee",2025,295.7697611375
"554","Texas",2025,310.6677461875
"555","Utah",2025,303.720681485
"556","Vermont",2025,308.9413702375
"557","Virginia",2025,322.0937973825
"558","Washington",2025,347.071899785
"559","West Virginia",2025,287.00041071
"560","Wisconsin",2025,297.6304107725
"561","Wyoming",2025,290.44037464
